method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
MMDFUSE,Set1,"(-0.05, 0.6)",1000,100,100,1,0.32446278000043094,0.0
MMDFUSE,Set2,3,50,100,100,1,0.3093220549999387,0.0
MMDFUSE,Set2,3,100,100,100,1,0.3100475640003424,0.0
MMDFUSE,Set2,3,500,100,100,1,0.31562912099980167,0.0
MMDFUSE,Set2,3,1000,100,100,1,0.32425972699911654,0.0
MMDFUSE,Set2,5,50,100,100,1,0.3089533800002755,0.0
MMDFUSE,Set2,5,100,100,100,1,0.3099975689992789,0.0
MMDFUSE,Set2,5,500,100,100,1,0.316020768999806,0.0
MMDFUSE,Set2,5,1000,100,100,1,0.3239706419999493,0.0
MMDFUSE,Set2,10,50,100,100,1,0.30957921000026545,0.0
MMDFUSE,Set2,10,100,100,100,1,0.3102049499993882,0.0
MMDFUSE,Set2,10,500,100,100,1,0.31541450599979726,0.0
MMDFUSE,Set2,10,1000,100,100,1,0.3238805320006577,0.0
MMDFUSE,Set3,"(-0.05, 0.85)",50,100,100,1,0.3091493799993259,0.0
MMDFUSE,Set3,"(-0.05, 0.85)",100,100,100,1,0.30986431800010905,0.0
MMDFUSE,Set3,"(-0.05, 0.85)",500,100,100,1,0.31631989300058194,0.0
MMDFUSE,Set3,"(-0.05, 0.85)",1000,100,100,1,0.32704127300075925,0.0
MMDFUSE,Set3,"(0.0, 1.1)",50,100,100,1,0.3106557300006898,0.0
MMDFUSE,Set3,"(0.0, 1.1)",100,100,100,1,0.3107822699994358,0.0
MMDFUSE,Set3,"(0.0, 1.1)",500,100,100,1,0.31782223699974566,0.0
